2025-01-28 07:12:04 configure libgcc-s1:arm64 12.2.0-14 <none>
2025-01-28 07:12:04 status unpacked libgcc-s1:arm64 12.2.0-14
2025-01-28 07:12:04 status half-configured libgcc-s1:arm64 12.2.0-14
2025-01-28 07:12:05 status installed libgcc-s1:arm64 12.2.0-14
2025-01-28 07:12:05 configure libc6:arm64 2.36-9+deb12u9 <none>
2025-01-28 07:12:05 status unpacked libc6:arm64 2.36-9+deb12u9
2025-01-28 07:12:05 status half-configured libc6:arm64 2.36-9+deb12u9
2025-01-28 07:12:06 status installed libc6:arm64 2.36-9+deb12u9
2025-01-28 07:12:06 configure libudev1:arm64 252.33-1~deb12u1 <none>
2025-01-28 07:12:06 status unpacked libudev1:arm64 252.33-1~deb12u1
2025-01-28 07:12:06 status half-configured libudev1:arm64 252.33-1~deb12u1
2025-01-28 07:12:06 status installed libudev1:arm64 252.33-1~deb12u1
2025-01-28 07:12:06 configure libffi8:arm64 3.4.4-1 <none>
2025-01-28 07:12:06 status unpacked libffi8:arm64 3.4.4-1
2025-01-28 07:12:06 status half-configured libffi8:arm64 3.4.4-1
2025-01-28 07:12:06 status installed libffi8:arm64 3.4.4-1
2025-01-28 07:12:06 configure libmd0:arm64 1.0.4-2 <none>
2025-01-28 07:12:06 status unpacked libmd0:arm64 1.0.4-2
